ID,Product,Region,Profession,Age,First Rate Paid,Contract sum,Closing Date
1,Life,150,Employee,26,Y,"1,000",Jul-90
2,Life,150,Farmer,31,N,"2,000",Jul-90
3,Life,150,Farmer,33,Y,"2,000",Jul-90
4,Life,150,Farmer,33,Y,"2,000",Jul-90
5,Life,120,Self-employed,34,Y,"2,000",Jul-90
6,Household,150,Farmer,36,Y,"4,000",Jul-90
7,Life,150,Farmer,36,Y,4K,Jul-90
8,Life,150,Employee,36,Y,"5,000",Jul-90
9,Life,150,Farmer,37,Y,"5,000",Jul-90
10,Household,150,Employee,40,Y,"5,000",Jul-90
11,Car,150,Farmer,41,Y,"5,000",Jul-90
12,Life,160,Farmer,41,N,"5,000",Jul-90
13,Life,150,Student,42,N,"5,000",Jul-90
14,Life,150,Employee,42,N,"5,000",Jul-90
15,Car,160,Farmer,43,Y,"5,000",Jul-90
16,Household,150,Employee,44,Y,"5,000",Jul-90
17,Car,150,Farmer,47,Y,"5,000",Jul-90
18,Life,150,Farmer,47,N,"5,000",Jul-90
19,Life,150,Employee,49,N,"5,000",Jul-90
20,Health,160,Executive emplyee,49,N,"5,000",Jul-90
21,Life,150,Employee,53,N,"5,000",Jul-90
22,Life,150,,56,Y,"5,000",Jul-90
23,Life,150,Farmer,56,Y,"5,000",Jul-90
24,Life,150,Employee,56,Y,"5,000",Jul-90
25,Car,150,Employee,57,Y,"5,000",Jul-90
26,Life,150,Executive emplyee,57,N,"5,000",Jul-90
27,Life,150,Employee,61,N,"5,000",Jul-90
28,Car,150,Employee,64,Y,"5,000",Jul-90
29,Car,150,Student,14,N,"5,000",Aug-90
30,Health,150,Student,21,Y,"5,000",Aug-90
31,Life,150,Student,26,N,"5,000",Aug-90
32,,150,Employee,28,Y,"5,000",Aug-90
33,Life,160,Employee,28,Y,"5,000",Aug-90
34,Health,150,Farmer,28,Y,"5,000",Aug-90
35,Household,150,Employee,28,Y,"5,000",Aug-90
36,Life,150,Farmer,28,N,"5,000",Aug-90
37,Life,160,Student,28,N,"5,000",Aug-90
38,Health,160,Farmer,29,Y,"5,000",Aug-90
39,Household,150,Farmer,29,Y,"5,000",Aug-90
40,Car,150,Farmer,29,Y,"5,000",Aug-90
41,Life,160,Employee,29,N,"5,000",Aug-90
42,Car,160,Farmer,32,Y,"5,000",Aug-90
43,Car,150,Student,32,Y,"5,000",Aug-90
44,Life,150,Student,32,Y,"5,000",Aug-90
45,Car,150,Employee,32,Y,"5,000",Aug-90
46,Health,150,Employee,32,N,"5,000",Aug-90
47,Car,150,Farmer,33,Y,"5,000",Aug-90
48,Life,150,Employee,33,Y,"5,000",Aug-90
49,Life,160,Farmer,33,N,"5,000",Aug-90
50,Car,999,Employee,33,N,"5,000",Aug-90
51,Life,160,Employee,34,Y,"5,000",Aug-90
52,Life,150,Employee,35,Y,"5,000",Aug-90
53,Life,150,Employee,35,Y,"5,000",Aug-90
54,Life,150,Employee,35,Y,"5,000",Aug-90
55,Life,150,Executive emplyee,35,N,"5,000",Aug-90
56,Life,150,Employee,35,Y,"5,000",Aug-90
57,Life,150,Farmer,35,Y,"5,000",Aug-90
58,Life,150,Farmer,36,N,"5,000",Aug-90
59,Life,150,Farmer,36,Y,"5,000",Aug-90
60,Life,150,Farmer,36,Y,"5,000",Aug-90
61,Car,150,Student,37,N,"5,000",Aug-90
62,Health,150,Employee,37,Y,"5,000",Aug-90
63,Car,150,Farmer,37,N,"5,000",Aug-90
64,Life,150,Employee,37,Y,"5,000",Aug-90
65,Household,150,Employee,38,Y,"5,000",Aug-90
66,Life,150,Pupil,38,Y,"5,000",Aug-90
67,Life,150,Farmer,38,N,"5,000",Aug-90
68,Car,150,Farmer,38,Y,"5,000",Aug-90
69,Life,150,Employee,38,N,"5,000",Aug-90
70,Life,150,Employee,38,Y,"5,000",Aug-90
71,Life,160,Executive emplyee,38,N,"5,000",Aug-90
72,Car,150,Farmer,38,Y,"5,000",Aug-90
73,Car,150,Employee,38,N,"5,000",Aug-90
74,Health,150,Farmer,38,N,"5,000",Aug-90
75,Health,150,Employee,39,N,"5,000",Aug-90
76,Car,150,Farmer,39,Y,"5,000",Aug-90
77,Life,150,Farmer,39,Y,"5,000",Aug-90
78,Life,150,Farmer,39,Y,"5,000",Aug-90
79,Car,150,Farmer,39,Y,"5,000",Aug-90
80,Life,160,Employee,39,Y,"5,000",Aug-90
81,Life,150,Farmer,39,Y,"5,000",Aug-90
82,Health,150,Farmer,39,Y,"5,000",Aug-90
83,Car,150,Employee,39,Y,"5,000",Aug-90
84,Household,150,Farmer,40,Y,"5,000",Aug-90
85,Life,160,Farmer,40,Y,"5,000",Aug-90
86,Car,150,Farmer,40,Y,"5,000",Aug-90
87,Life,150,Farmer,40,Y,"5,000",Aug-90
88,Health,160,Employee,41,Y,"5,000",Aug-90
89,Car,160,Farmer,41,Y,"5,000",Aug-90
90,Life,150,Employee,41,N,"5,000",Aug-90
91,Life,150,Employee,41,N,"5,000",Aug-90
92,Life,150,Farmer,42,Y,"5,000",Aug-90
93,Household,150,Farmer,42,Y,"5,000",Aug-90
94,Life,150,Farmer,42,Y,"5,000",Aug-90
95,Health,150,Farmer,42,N,"5,000",Aug-90
96,Life,150,Employee,42,N,"5,000",Aug-90
97,Health,150,Employee,42,Y,"5,000",Aug-90
98,Health,150,Employee,42,Y,"5,000",Aug-90
99,Life,150,Farmer,42,N,"5,000",Aug-90
100,Household,150,,43,Y,"5,000",Aug-90
101,Household,150,Pupil,43,N,"5,000",Aug-90
102,Life,150,Employee,43,Y,"5,000",Aug-90
103,Life,150,Farmer,43,N,"5,000",Aug-90
104,Life,150,Farmer,43,Y,"5,000",Aug-90
105,Life,150,Farmer,43,Y,"5,000",Aug-90
106,Life,160,Employee,43,Y,"5,000",Aug-90
107,Household,160,Farmer,43,Y,"5,000",Aug-90
108,Life,160,Farmer,43,Y,"5,000",Aug-90
109,Household,150,Farmer,44,Y,"5,000",Aug-90
110,Life,150,Farmer,44,N,"5,000",Aug-90
111,Household,150,Farmer,44,Y,"5,000",Aug-90
112,Life,150,Farmer,44,Y,"5,000",Aug-90
113,Health,150,Farmer,44,N,"5,000",Aug-90
114,Car,150,Employee,45,Y,"5,000",Aug-90
115,Health,160,Farmer,45,N,"5,000",Aug-90
116,Life,150,Farmer,45,Y,"5,000",Aug-90
117,Household,160,Farmer,45,Y,"5,000",Aug-90
118,Car,150,Student,45,N,"5,000",Aug-90
119,Life,150,Farmer,45,Y,"5,000",Aug-90
120,Car,150,Pupil,45,Y,"5,000",Aug-90
121,Life,150,Employee,45,Y,"5,000",Aug-90
122,Health,150,Farmer,45,Y,"5,000",Aug-90
123,Life,150,Farmer,45,N,"5,000",Aug-90
124,Life,150,Farmer,45,N,"5,000",Aug-90
125,Life,150,Farmer,46,Y,"5,000",Aug-90
126,Car,150,Employee,46,Y,"5,000",Aug-90
127,Health,150,Student,46,Y,"5,000",Aug-90
128,Car,160,Farmer,46,Y,"5,000",Aug-90
